,iso_code,year,percent
0,AFG,2010,65.24559168
1,AFG,2011,66.83572711
2,AFG,2012,66.02317421
3,AFG,2013,61.36674452
4,AFG,2014,59.01033025
5,AFG,2015,61.2526558
6,AFG,2016,56.28704672
7,AFG,2017,56.91080835
8,AGO,2010,33.78724719
9,AGO,2011,33.10419463
10,AGO,2012,33.41549506
11,AGO,2013,34.66392257
12,AGO,2014,32.97402504
13,AGO,2015,32.72987314
14,AGO,2016,31.78538881
15,AGO,2017,32.38850491
16,ALB,2010,21.27782812
17,ALB,2011,22.77253665
18,ALB,2012,20.57825918
19,ALB,2013,19.93851711
20,ALB,2014,18.88395497
21,ALB,2015,19.51253962
22,ALB,2016,18.18993375
23,ALB,2017,18.20060252
24,AND,2010,12.8071975
25,AND,2011,13.27350555
26,AND,2012,12.40705303
27,AND,2013,11.81367331
28,AND,2014,10.83041825
29,AND,2015,11.46217847
30,AND,2016,10.25583443
31,AND,2017,10.30762139
32,ARE,2010,38.98006849
33,ARE,2011,39.1934301
34,ARE,2012,39.27712811
35,ARE,2013,39.6081551
36,ARE,2014,37.98342106
37,ARE,2015,42.33499
38,ARE,2016,40.52210348
39,ARE,2017,40.91750982
40,ARG,2010,16.85910062
41,ARG,2011,17.38298213
42,ARG,2012,16.13507182
43,ARG,2013,15.59737515
44,ARG,2014,14.46698041
45,ARG,2015,14.6316259
46,ARG,2016,13.75144403
47,ARG,2017,13.31183395
48,ARM,2010,37.53004093
49,ARM,2011,38.61227522
50,ARM,2012,37.18448464
51,ARM,2013,34.9372126
52,ARM,2014,33.08594982
53,ARM,2015,34.88143264
54,ARM,2016,32.22716773
55,ARM,2017,32.52811834
56,ASM,2010,15.07272173
57,ASM,2011,15.39064186
58,ASM,2012,14.34415015
59,ASM,2013,14.12722552
60,ASM,2014,13.31699203
61,ASM,2015,13.0193901
62,ASM,2016,12.38272987
63,ASM,2017,12.47382024
64,ATG,2010,22.52887611
65,ATG,2011,23.1478617
66,ATG,2012,21.47105044
67,ATG,2013,20.73538507
68,ATG,2014,19.72558362
69,ATG,2015,19.69638779
70,ATG,2016,18.46093032
71,ATG,2017,18.62234285
72,AUS,2010,10.6188794
73,AUS,2011,11.04726492
74,AUS,2012,10.53708999
75,AUS,2013,9.98768389
76,AUS,2014,9.492978752
77,AUS,2015,9.320015289
78,AUS,2016,8.614508924
79,AUS,2017,8.550324401
80,AUT,2010,15.14913995
81,AUT,2011,15.57337093
82,AUT,2012,14.28233205
83,AUT,2013,14.08161348
84,AUT,2014,13.37922794
85,AUT,2015,13.54109517
86,AUT,2016,12.59681605
87,AUT,2017,12.47796673
88,AZE,2010,23.0476012
89,AZE,2011,23.6298688
90,AZE,2012,22.18081034
91,AZE,2013,22.27878046
92,AZE,2014,20.71006751
93,AZE,2015,21.41412281
94,AZE,2016,20.20815664
95,AZE,2017,19.92866362
96,BDI,2010,38.38116825
97,BDI,2011,38.23619121
98,BDI,2012,41.01132776
99,BDI,2013,39.97107204
100,BDI,2014,39.38755864
101,BDI,2015,38.43088048
102,BDI,2016,38.65322349
103,BDI,2017,38.89626795
104,BEL,2010,16.00931923
105,BEL,2011,15.69844257
106,BEL,2012,14.74189365
107,BEL,2013,14.02266986
108,BEL,2014,13.2336213
109,BEL,2015,13.56652303
110,BEL,2016,12.83308751
111,BEL,2017,12.88651847
112,BEN,2010,32.39296916
113,BEN,2011,32.58084623
114,BEN,2012,31.99200044
115,BEN,2013,31.44329865
116,BEN,2014,29.66045567
117,BEN,2015,40.47068263
118,BEN,2016,38.44770366
119,BEN,2017,38.99995876
120,BFA,2010,37.49132872
121,BFA,2011,37.28137549
122,BFA,2012,38.78415146
123,BFA,2013,33.28720021
124,BFA,2014,33.96909317
125,BFA,2015,46.56216758
126,BFA,2016,41.53724291
127,BFA,2017,42.93559251
128,BGD,2010,70.76499566
129,BGD,2011,70.2105489
130,BGD,2012,70.79390882
131,BGD,2013,65.64508289
132,BGD,2014,68.3953774
133,BGD,2015,66.96574924
134,BGD,2016,60.12627467
135,BGD,2017,60.84578458
