iso_code,year,oil_co2_per_capita,oil_co2,share_global_oil_co2,cumulative_oil_co2,share_global_cumulative_oil_co2,co2_growth_abs,co2_per_capita,co2,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_growth_prct,population,AvgYearlyTemp,AvgTempUncertainty
FRA,1855,0.001,0.037,100.0,0.037,100.0,3.858,0.899,33.071,12.71,469.655,7.96,13.21,36768948.0,11.763583333333337,1.391333333333333
FRA,1856,0.001,0.04,100.0,0.077,100.0,1.561,0.94,34.632,12.49,504.287,8.17,4.72,36853256.0,12.615916666666664,1.3871666666666664
FRA,1857,0.001,0.044,85.71,0.121,94.29,0.649,0.955,35.281,12.61,539.568,8.36,1.87,36937755.0,12.823250000000002,1.2865
FRA,1858,0.001,0.048,76.47,0.169,88.46,-0.685,0.934,34.595,12.17,574.163,8.52,-1.94,37022445.0,12.382083333333334,1.4004166666666666
FRA,1859,0.001,0.048,86.67,0.216,88.06,0.396,0.943,34.991,11.61,609.155,8.65,1.14,37110539.0,13.1075,1.2225833333333334
ROU,1859,0.0,0.004,6.67,0.007,2.99,0.0,0.0,0.004,0.0,0.007,0.0,0.0,8499134.0,9.252083333333331,1.2075
ARM,1860,0.0,0.0,0.05,0.0,0.03,0.0,0.003,0.002,0.0,0.005,0.0,32.14,594311.0,8.464083333333333,1.3125000000000002
AZE,1860,0.004,0.005,1.79,0.005,0.94,0.002,0.007,0.009,0.0,0.029,0.0,32.15,1268561.0,11.0185,1.2334166666666668
BLR,1860,0.001,0.003,0.92,0.003,0.49,0.005,0.006,0.019,0.01,0.061,0.0,32.14,3396680.0,5.694416666666668,0.9210833333333334
EST,1860,0.0,0.0,0.02,0.0,0.01,0.002,0.013,0.007,0.0,0.022,0.0,32.14,540368.0,4.418916666666667,0.917
FRA,1860,0.001,0.048,17.4,0.264,50.82,3.14,1.025,38.131,11.53,647.286,8.78,8.97,37202052.0,11.752250000000002,1.2059999999999995
GEO,1860,0.0,0.0,0.1,0.0,0.05,0.001,0.002,0.003,0.0,0.009,0.0,32.1,1544908.0,8.018333333333333,1.15
KAZ,1860,0.0,0.0,0.12,0.0,0.06,0.011,0.015,0.045,0.01,0.146,0.0,32.14,2934178.0,3.7080833333333354,2.2815
KGZ,1860,0.0,0.0,0.03,0.0,0.01,0.001,0.005,0.004,0.0,0.013,0.0,32.15,763476.0,2.0403333333333333,2.5696666666666665
LTU,1860,0.001,0.001,0.32,0.001,0.17,0.002,0.005,0.007,0.0,0.023,0.0,32.13,1401276.0,5.662,0.8894166666666665
LVA,1860,0.0,0.0,0.16,0.0,0.08,0.001,0.004,0.005,0.0,0.015,0.0,32.14,1130272.0,5.015833333333334,0.89425
ROU,1860,0.0,0.004,1.34,0.011,2.12,0.0,0.0,0.004,0.0,0.011,0.0,0.0,8556435.0,8.930750000000002,1.0815833333333331
TJK,1860,0.0,0.0,0.05,0.0,0.03,0.001,0.003,0.002,0.0,0.008,0.0,32.11,671264.0,3.0931666666666677,2.3324166666666666
